-203.344,-22.257,0.570565
-203.798,-24.9222,2.0353
-203.753,-21.1574,3.3601
-204.255,-27.499,5.47331
-204.298,-24.1417,5.313
-204.493,-26.0112,9.15248
-204.461,-28.7899,8.30195
-204.174,-21.6158,7.11293
-204.1,-21.6343,11.1075
-203.192,-26.5846,-0.272387
-202.881,-24.3697,-1.32635
-203.557,-28.4618,2.34895
-202.898,-22.3616,-0.940496
-203.009,-21.3124,-0.189658
-202.588,-21.0635,-1.13671
-202.635,-19.2907,0.219193
-203.95,-29.3467,4.82217
-204.096,-30.0488,7.06381
-203.013,-18.0651,2.99593
-204.25,-30.3876,9.80278
-203.56,-18.7004,5.5582
-204.524,-28.8342,9.8635
-203.649,-18.8917,8.48353
-204.368,-29.0389,11.7267
-204.256,-25.8038,14.1442
-203.749,-21.2721,14.5333
-201.676,-24.8613,-4.29461
-202.244,-26.6365,-2.61805
-202.733,-28.2731,-0.415325
-202.024,-22.3323,-3.07047
-201.771,-19.5052,-2.49992
-202.863,-29.6424,1.53114
-203.157,-30.1345,2.95344
-201.919,-18.3352,-1.40347
-201.55,-17.9725,-2.21264
-201.316,-16.5643,-1.75027
-203.464,-30.7182,5.15907
-201.734,-15.6723,1.17199
-203.568,-31.9854,8.98099
-202.531,-16.171,4.88016
-201.362,-14.052,3.23885
-203.844,-31.5775,12.0321
-203.185,-17.324,6.9375
-204.012,-30.0249,14.4622
-204.028,-28.3903,16.8163
-203.466,-18.7384,11.1113
-203.678,-19.7709,12.7499
-204.008,-26.3931,17.5715
-203.726,-23.1957,17.2891
-202.761,-17.9396,13.8861
-203.981,-27.8001,18.0055
-201.561,-26.253,-4.28349
-200.845,-22.9894,-6.12202
-200.912,-20.3245,-5.31145
-201.077,-27.3049,-3.78972
-201.842,-28.3046,-1.80376
-201.932,-29.7514,0.496627
-201.014,-18.9396,-4.31309
-200.833,-17.4243,-3.90365
-200.637,-18.3604,-5.07861
-202.31,-31.3292,3.9464
-200.647,-15.9775,-3.42778
-202.917,-32.3261,7.02259
-202.705,-33.2323,9.29221
-202.916,-33.2586,11.7123
-201.456,-13.9896,5.93308
-203.26,-32.5315,14.4312
-202.483,-16.2184,9.09308
-203.442,-31.0611,16.9308
-203.223,-28.552,19.6315
-202.901,-19.8887,17.4018
-203.456,-24.8222,19.4186
-202.68,-21.7143,20.3824
-200.112,-23.9361,-7.34893
-200.573,-24.8945,-6.18696
-200.023,-22.8801,-7.97974
